DATE,PAYEMS
01-07-2006,136520
01-08-2006,136694
01-09-2006,136843
01-10-2006,136852
01-11-2006,137063
01-12-2006,137249
01-01-2007,137477
01-02-2007,137558
01-03-2007,137793
01-04-2007,137842
01-05-2007,137993
01-06-2007,138069
01-07-2007,138038
01-08-2007,138015
01-09-2007,138095
01-10-2007,138174
01-11-2007,138284
01-12-2007,138392
01-01-2008,138403
01-02-2008,138324
01-03-2008,138275
01-04-2008,138035
01-05-2008,137858
01-06-2008,137687
01-07-2008,137491
01-08-2008,137213
01-09-2008,136753
01-10-2008,136272
01-11-2008,135545
01-12-2008,134839
01-01-2009,134055
01-02-2009,133312
01-03-2009,132512
01-04-2009,131817
01-05-2009,131475
01-06-2009,131008
01-07-2009,130668
01-08-2009,130485
01-09-2009,130244
01-10-2009,130045
01-11-2009,130057
01-12-2009,129788
01-01-2010,129790
01-02-2010,129698
01-03-2010,129879
01-04-2010,130110
01-05-2010,130650
01-06-2010,130511
01-07-2010,130427
01-08-2010,130422
01-09-2010,130357
01-10-2010,130625
01-11-2010,130750
01-12-2010,130822
01-01-2011,130841
01-02-2011,131053
01-03-2011,131288
01-04-2011,131602
01-05-2011,131703
01-06-2011,131939
01-07-2011,131999
01-08-2011,132125
01-09-2011,132358
01-10-2011,132562
01-11-2011,132694
01-12-2011,132896
01-01-2012,133250
01-02-2012,133512
01-03-2012,133752
01-04-2012,133834
01-05-2012,133934
01-06-2012,134007
01-07-2012,134159
01-08-2012,134331
01-09-2012,134518
01-10-2012,134677
01-11-2012,134833
01-12-2012,135072
01-01-2013,135263
01-02-2013,135541
01-03-2013,135680
01-04-2013,135871
01-05-2013,136093
01-06-2013,136274
01-07-2013,136386
01-08-2013,136628
01-09-2013,136815
01-10-2013,137040
01-11-2013,137304
01-12-2013,137373
01-01-2014,137548
01-02-2014,137714
01-03-2014,137968
01-04-2014,138293
01-05-2014,138511
01-06-2014,138837
01-07-2014,139069
01-08-2014,139257
01-09-2014,139566
01-10-2014,139818
01-11-2014,140109
01-12-2014,140377
01-01-2015,140568
01-02-2015,140839
01-03-2015,140910
01-04-2015,141194
01-05-2015,141525
01-06-2015,141699
01-07-2015,142001
01-08-2015,142126
01-09-2015,142281
01-10-2015,142587
01-11-2015,142824
01-12-2015,143097
01-01-2016,143205
01-02-2016,143417
01-03-2016,143654
01-04-2016,143851
01-05-2016,143892
01-06-2016,144150
01-07-2016,144521
01-08-2016,144664
01-09-2016,144953
01-10-2016,145071
01-11-2016,145201
01-12-2016,145415
01-01-2017,145628
01-02-2017,145818
01-03-2017,145960
01-04-2017,146165
01-05-2017,146388
01-06-2017,146585
01-07-2017,146768
01-08-2017,146913
01-09-2017,147012
01-10-2017,147153
01-11-2017,147353
01-12-2017,147529
01-01-2018,147662
01-02-2018,148064
01-03-2018,148289
01-04-2018,148468
01-05-2018,148801
01-06-2018,148984
01-07-2018,149050
01-08-2018,149269
01-09-2018,149326
01-10-2018,149471
01-11-2018,149573
01-12-2018,149821
01-01-2019,150100
01-02-2019,150124
01-03-2019,150348
01-04-2019,150636
01-05-2019,150713
01-06-2019,150843
01-07-2019,150921
01-08-2019,151081
01-09-2019,151244
01-10-2019,151337
01-11-2019,151589
01-12-2019,151789
01-01-2020,152128
01-02-2020,152504
01-03-2020,151006
01-04-2020,130513
01-05-2020,133155
01-06-2020,137660
01-07-2020,139048
01-08-2020,140713
01-09-2020,141632
01-10-2020,142279
01-11-2020,142612
01-12-2020,142497
01-01-2021,143017
01-02-2021,143727
01-03-2021,144431
01-04-2021,144694
01-05-2021,145141
01-06-2021,145698
01-07-2021,146387
01-08-2021,146904
01-09-2021,147328
01-10-2021,148005
01-11-2021,148652
01-12-2021,149240
01-01-2022,149744
01-02-2022,150458
01-03-2022,150856
01-04-2022,151224
01-05-2022,151610
01-06-2022,151903
01-07-2022,152440
01-08-2022,152732
