DATE,INDPRO,% chg
01-07-1992,63.8769,-0.895116427
01-08-1992,63.5221,0.555443361
01-09-1992,63.7217,-0.31422135
01-10-1992,64.1556,-0.68092973
01-11-1992,64.4144,-0.403394248
01-12-1992,64.5161,-0.157883951
01-01-1993,64.7738,-0.39943518
01-02-1993,65.0805,-0.473493913
01-03-1993,65.0176,0.096649534
01-04-1993,65.2041,-0.286845408
01-05-1993,64.9433,0.399974848
01-06-1993,65.0984,-0.238823712
01-07-1993,65.2554,-0.241173362
01-08-1993,65.1946,0.093172366
01-09-1993,65.5282,-0.511698822
01-10-1993,66.0152,-0.743191481
01-11-1993,66.3292,-0.475648033
01-12-1993,66.7038,-0.564758809
01-01-1994,66.9164,-0.318722472
01-02-1994,66.9642,-0.071432414
01-03-1994,67.6335,-0.999489279
01-04-1994,68.0334,-0.591275034
01-05-1994,68.3531,-0.469916247
01-06-1994,68.8002,-0.654103472
01-07-1994,68.8863,-0.125144985
01-08-1994,69.3412,-0.660363527
01-09-1994,69.5574,-0.311791547
01-10-1994,70.119,-0.807390731
01-11-1994,70.5942,-0.677705044
01-12-1994,71.2814,-0.973451077
01-01-1995,71.4303,-0.208890398
01-02-1995,71.3343,0.134396748
01-03-1995,71.4451,-0.155324998
01-04-1995,71.3289,0.162642365
01-05-1995,71.66,-0.464187728
01-06-1995,71.8967,-0.330309796
01-07-1995,71.5924,0.42324613
01-08-1995,72.5339,-1.315083724
01-09-1995,72.8247,-0.400915985
01-10-1995,72.713,0.153382026
01-11-1995,72.8884,-0.24122234
01-12-1995,73.1429,-0.349163927
01-01-1996,72.7471,0.541132495
01-02-1996,73.7871,-1.429610253
01-03-1996,73.6749,0.1520591
01-04-1996,74.4153,-1.004955555
01-05-1996,74.9718,-0.747830083
01-06-1996,75.5317,-0.746814135
01-07-1996,75.5323,-0.000794368
01-08-1996,75.9129,-0.503890389
01-09-1996,76.4032,-0.645871782
01-10-1996,76.3931,0.013219342
01-11-1996,77.0672,-0.882409537
01-12-1996,77.5543,-0.632045799
01-01-1997,77.6945,-0.180776566
01-02-1997,78.612,-1.180907271
01-03-1997,79.1021,-0.623441714
01-04-1997,79.1683,-0.083689308
01-05-1997,79.6084,-0.55590432
01-06-1997,79.9802,-0.467036142
01-07-1997,80.6492,-0.836457023
01-08-1997,81.4548,-0.998893975
01-09-1997,82.212,-0.929595309
01-10-1997,82.9309,-0.874446553
01-11-1997,83.5919,-0.79704911
01-12-1997,83.9696,-0.451838037
01-01-1998,84.3467,-0.4490911
01-02-1998,84.4865,-0.165744481
01-03-1998,84.5212,-0.041071651
01-04-1998,84.8275,-0.362394287
01-05-1998,85.3596,-0.627272995
01-06-1998,84.8466,0.600986884
01-07-1998,84.5061,0.401312486
01-08-1998,86.2464,-2.059377962
01-09-1998,86.1707,0.087771779
01-10-1998,86.7671,-0.692114605
01-11-1998,86.6929,0.085516284
01-12-1998,87.0633,-0.427255288
01-01-1999,87.4252,-0.415674572
01-02-1999,87.926,-0.572832547
01-03-1999,88.1101,-0.209380616
01-04-1999,88.3106,-0.227556205
01-05-1999,88.8487,-0.609326627
01-06-1999,88.7978,0.057288402
